Matchday,Pairings,Groups,Date
Matchday 1,1 vs 2 3 vs 4,A,"June 11, 2026"
Matchday 1,1 vs 2 3 vs 4,B & D,"June 12, 2026"
Matchday 1,1 vs 2 3 vs 4,"B, C & D","June 13, 2026"
Matchday 1,1 vs 2 3 vs 4,E & F,"June 14, 2026"
Matchday 1,1 vs 2 3 vs 4,G & H,"June 15, 2026"
Matchday 1,1 vs 2 3 vs 4,I & J,"June 16, 2026"
Matchday 1,1 vs 2 3 vs 4,K & L,"June 17, 2026"
Matchday 2,1 vs 3 4 vs 2,A & B,"June 18, 2026"
Matchday 2,1 vs 3 4 vs 2,C & D,"June 19, 2026"
Matchday 2,1 vs 3 4 vs 2,E & F,"June 20, 2026"
Matchday 2,1 vs 3 4 vs 2,G & H,"June 21, 2026"
Matchday 2,1 vs 3 4 vs 2,I & J,"June 22, 2026"
Matchday 2,1 vs 3 4 vs 2,K & L,"June 23, 2026"
Matchday 3,4 vs 1 2 vs 3,"A, B & C","June 24, 2026"
Matchday 3,4 vs 1 2 vs 3,"D, E & F","June 25, 2026"
Matchday 3,4 vs 1 2 vs 3,"G, H & I","June 26, 2026"
Matchday 3,4 vs 1 2 vs 3,"J, K & L","June 27, 2026"
